expr,time,trial,mat_size,memory_used
Rbase,5145,99,1,78788440
ArmadilloBase,105355,100,1,78788536
ArmadilloIterator,88874,100,1,78788536
Rbase,5790,100,1,78788536
ArmadilloBase,104183,101,1,78788648
ArmadilloIterator,95275,101,1,78788648
Rbase,5810,101,1,78788648
ArmadilloIterator,139064,102,1,78788720
ArmadilloBase,37453,102,1,78788720
Rbase,4609,102,1,78788720
ArmadilloIterator,137021,103,1,78788816
ArmadilloBase,46729,103,1,78788816
Rbase,5098,103,1,78788816
ArmadilloIterator,143781,104,1,78788888
ArmadilloBase,36177,104,1,78788888
Rbase,4512,104,1,78788888
ArmadilloBase,98575,105,1,78788984
Rbase,4692,105,1,78788984
ArmadilloIterator,76954,105,1,78788984
ArmadilloBase,83674,106,1,78789056
ArmadilloIterator,74862,106,1,78789056
Rbase,4315,106,1,78789056
Rbase,16828,107,1,78789152
ArmadilloIterator,111673,107,1,78789152
ArmadilloBase,24813,107,1,78789152
Rbase,10630,108,1,78789264
ArmadilloIterator,95934,108,1,78789264
ArmadilloBase,20883,108,1,78789264
ArmadilloIterator,157871,109,1,78789336
ArmadilloBase,63037,109,1,78789336
Rbase,6890,109,1,78789336
Rbase,20551,110,1,78789432
ArmadilloIterator,153529,110,1,78789432
ArmadilloBase,33581,110,1,78789432
ArmadilloBase,205101,111,1,78789504
Rbase,8294,111,1,78789504
ArmadilloIterator,145465,111,1,78789504
ArmadilloIterator,208560,112,1,78789600
Rbase,12830,112,1,78789600
ArmadilloBase,59901,112,1,78789600
ArmadilloIterator,158152,113,1,78789672
Rbase,10122,113,1,78789672
ArmadilloBase,36073,113,1,78789672
ArmadilloBase,99601,114,1,78789768
Rbase,5293,114,1,78789768
ArmadilloIterator,101468,114,1,78789768
ArmadilloIterator,160932,115,1,78789880
Rbase,8691,115,1,78789880
ArmadilloBase,38199,115,1,78789880
Rbase,21905,116,1,78789952
ArmadilloBase,92690,116,1,78789952
ArmadilloIterator,98210,116,1,78789952
ArmadilloIterator,150453,117,1,78790048
Rbase,9718,117,1,78790048
ArmadilloBase,35074,117,1,78790048
ArmadilloBase,103666,118,1,78790120
ArmadilloIterator,85306,118,1,78790120
Rbase,5282,118,1,78790120
Rbase,22115,119,1,78790216
ArmadilloIterator,154365,119,1,78790216
ArmadilloBase,38214,119,1,78790216
ArmadilloBase,174914,120,1,78790288
ArmadilloIterator,108926,120,1,78790288
Rbase,7717,120,1,78790288
Rbase,19551,121,1,78790400
