expr,time,trial,mat_size,memory_used
RparallelColumn,47370362,89,1,51532104
RcppOpenMP,174233,89,1,51532104
RparallelColumn,44103947,90,1,51532216
RcppParallel,223057,90,1,51532216
RcppOpenMP,196914,90,1,51532216
RparallelRow,38299693,90,1,51532216
RcppOpenMP,233433,91,1,51532344
RparallelColumn,43973007,91,1,51532344
RparallelRow,36260235,91,1,51532344
RcppParallel,230447,91,1,51532344
RparallelRow,37607881,92,1,51532456
RparallelColumn,48919772,92,1,51532456
RcppOpenMP,181016,92,1,51532456
RcppParallel,175801,92,1,51532456
RcppParallel,247778,93,1,51532568
RparallelColumn,46762157,93,1,51532568
RcppOpenMP,166552,93,1,51532568
RparallelRow,42988374,93,1,51532568
RparallelColumn,45534164,94,1,51532680
RcppParallel,225033,94,1,51532680
RparallelRow,39365681,94,1,51532680
RcppOpenMP,188760,94,1,51532680
RcppOpenMP,200178,95,1,51532792
RparallelColumn,44592924,95,1,51532792
RcppParallel,192369,95,1,51532792
RparallelRow,39204004,95,1,51532792
RparallelColumn,43735822,96,1,51532944
RcppParallel,196880,96,1,51532944
RparallelRow,38233902,96,1,51532944
RcppOpenMP,235867,96,1,51532944
RcppOpenMP,210306,97,1,51533056
RcppParallel,187169,97,1,51533056
RparallelRow,36377131,97,1,51533056
RparallelColumn,48296186,97,1,51533056
RparallelRow,36366876,98,1,51533168
RparallelColumn,47733872,98,1,51533168
RcppParallel,199703,98,1,51533168
RcppOpenMP,183345,98,1,51533168
RcppParallel,252717,99,1,51533280
RparallelColumn,44280570,99,1,51533280
RparallelRow,39149690,99,1,51533280
RcppOpenMP,204287,99,1,51533280
RcppOpenMP,188662,100,1,51533392
RparallelColumn,44227339,100,1,51533392
RcppParallel,230817,100,1,51533392
RparallelRow,36039591,100,1,51533392
RparallelRow,37288320,101,1,51533520
RcppOpenMP,202198,101,1,51533520
RcppParallel,178637,101,1,51533520
RparallelColumn,48182516,101,1,51533520
RparallelRow,36855519,102,1,51533632
RcppParallel,241030,102,1,51533632
RparallelColumn,47600245,102,1,51533632
RcppOpenMP,186294,102,1,51533632
RparallelColumn,43995790,103,1,51533744
RcppOpenMP,179915,103,1,51533744
RparallelRow,35477578,103,1,51533744
RcppParallel,261371,103,1,51533744
RcppParallel,245818,104,1,51533856
RparallelColumn,45663346,104,1,51533856
RcppOpenMP,195407,104,1,51533856
RparallelRow,36482929,104,1,51533856
RparallelRow,35973989,105,1,51533968
RcppParallel,307960,105,1,51533968
