"expr","time","trial","mat_size","memory_used"
"ArmadilloIterator",99670,24,1,133408840
"ArmadilloBase",27825,24,1,133408840
"Rbase",3562,24,1,133408840
"ArmadilloBase",2321763,24,2,133408840
"ArmadilloIterator",6541380,24,2,133408840
"Rbase",82389,24,2,133408840
"Rbase",45755301,24,3,133408840
"ArmadilloBase",45641402,24,3,133408840
"ArmadilloIterator",4286312685,24,3,133408840
"ArmadilloIterator",131838,25,1,133408840
"Rbase",8540,25,1,133408840
"ArmadilloBase",41703,25,1,133408840
"ArmadilloIterator",6507013,25,2,133408840
"ArmadilloBase",119438,25,2,133408840
"Rbase",72146,25,2,133408840
"ArmadilloBase",45679517,25,3,133408840
"ArmadilloIterator",4204995886,25,3,133408840
"Rbase",46124750,25,3,133408840
"ArmadilloBase",63886,26,1,133408840
"ArmadilloIterator",68287,26,1,133408840
"Rbase",4341,26,1,133408840
"ArmadilloBase",323457,26,2,133408840
"Rbase",83515,26,2,133408840
"ArmadilloIterator",6768518,26,2,133408840
"ArmadilloBase",46742740,26,3,133408840
"Rbase",44059169,26,3,133408840
"ArmadilloIterator",4213060514,26,3,133408840
"ArmadilloBase",156866,27,1,133408840
"ArmadilloIterator",69690,27,1,133408840
"Rbase",5385,27,1,133408840
"ArmadilloIterator",6569563,27,2,133408840
"ArmadilloBase",127039,27,2,133408840
"Rbase",75401,27,2,133408840
"ArmadilloBase",45653653,27,3,133408840
"Rbase",46092210,27,3,133408840
"ArmadilloIterator",4234314384,27,3,133408840
"Rbase",18274,28,1,133408840
"ArmadilloBase",81549,28,1,133408840
"ArmadilloIterator",59860,28,1,133408840
"ArmadilloBase",202047,28,2,133408840
"Rbase",94666,28,2,133408840
"ArmadilloIterator",6943593,28,2,133408840
"ArmadilloIterator",4187336145,28,3,133408840
"ArmadilloBase",53897004,28,3,133408840
"Rbase",49105447,28,3,133408840
"ArmadilloIterator",120215,29,1,133408840
"ArmadilloBase",33394,29,1,133408840
"Rbase",13508,29,1,133408840
"Rbase",105854,29,2,133408840
"ArmadilloIterator",6408854,29,2,133408840
"ArmadilloBase",105215,29,2,133408840
"ArmadilloBase",44626730,29,3,133408840
"ArmadilloIterator",4272051597,29,3,133408840
"Rbase",49231208,29,3,133408840
"ArmadilloBase",60769,30,1,133408840
"ArmadilloIterator",58315,30,1,133408840
"Rbase",3636,30,1,133408840
"ArmadilloIterator",6806301,30,2,133408840
"ArmadilloBase",134263,30,2,133408840
"Rbase",72480,30,2,133408840
"ArmadilloIterator",4203363735,30,3,133408840
"Rbase",51845176,30,3,133408840
"ArmadilloBase",47965692,30,3,133408840
"ArmadilloIterator",132068,31,1,133408840
"ArmadilloBase",49688,31,1,133408840
"Rbase",4537,31,1,133408840
"ArmadilloIterator",6510531,31,2,133408840
"Rbase",82659,31,2,133408840
"ArmadilloBase",115417,31,2,133408840
"ArmadilloIterator",4229148698,31,3,133408840
"Rbase",49324971,31,3,133408840
"ArmadilloBase",47492567,31,3,133408840
"Rbase",16875,32,1,133408840
"ArmadilloBase",62823,32,1,133408840
"ArmadilloIterator",66423,32,1,133408840
"ArmadilloBase",192513,32,2,133408840
"Rbase",87130,32,2,133408840
"ArmadilloIterator",6638951,32,2,133408840
